lightskyblue,#87CEFA
lightskyblue 1,#B0E2FF
lightskyblue 2,#A4D3EE
lightskyblue 3,#8DB6CD
lightskyblue 4,#607B8B
skyblue 1,#87CEFF
skyblue 2,#7EC0EE
skyblue 3,#6CA6CD
skyblue 4,#4A708B
skyblue,#87CEEB
deepskyblue 1 (deepskyblue),#00BFFF
deepskyblue 2,#00B2EE
deepskyblue 3,#009ACD
deepskyblue 4,#00688B
peacock,#33A1C9
lightblue,#ADD8E6
lightblue 1,#BFEFFF
lightblue 2,#B2DFEE
lightblue 3,#9AC0CD
lightblue 4,#68838B
powderblue,#B0E0E6
cadetblue 1,#98F5FF
cadetblue 2,#8EE5EE
cadetblue 3,#7AC5CD
cadetblue 4,#53868B
turquoise 1,#00F5FF
turquoise 2,#00E5EE
turquoise 3,#00C5CD
turquoise 4,#00868B
cadetblue,#5F9EA0
darkturquoise,#00CED1
azure 1 (azure),#F0FFFF
azure 2,#E0EEEE
azure 3,#C1CDCD
azure 4,#838B8B
lightcyan 1 (lightcyan),#E0FFFF
lightcyan 2,#D1EEEE
lightcyan 3,#B4CDCD
lightcyan 4,#7A8B8B
paleturquoise 1,#BBFFFF
paleturquoise 2 (paleturquoise),#AEEEEE
paleturquoise 3,#96CDCD
paleturquoise 4,#668B8B
darkslategray,#2F4F4F
darkslategray 1,#97FFFF
darkslategray 2,#8DEEEE
darkslategray 3,#79CDCD
darkslategray 4,#528B8B
cyan / aqua*,#00FFFF
cyan 2,#00EEEE
cyan 3,#00CDCD
cyan 4 (darkcyan),#008B8B
teal*,#008080
mediumturquoise,#48D1CC
lightseagreen,#20B2AA
manganeseblue,#03A89E
turquoise,#40E0D0
coldgrey,#808A87
turquoiseblue,#00C78C
aquamarine 1 (aquamarine),#7FFFD4
aquamarine 2,#76EEC6
aquamarine 3 (mediumaquamarine),#66CDAA
aquamarine 4,#458B74
mediumspringgreen,#00FA9A
mintcream,#F5FFFA
springgreen,#00FF7F
springgreen 1,#00EE76
springgreen 2,#00CD66
springgreen 3,#008B45
mediumseagreen,#3CB371
seagreen 1,#54FF9F
seagreen 2,#4EEE94
seagreen 3,#43CD80
seagreen 4 (seagreen),#2E8B57
emeraldgreen,#00C957
mint,#BDFCC9
cobaltgreen,#3D9140
honeydew 1 (honeydew),#F0FFF0
honeydew 2,#E0EEE0
honeydew 3,#C1CDC1
honeydew 4,#838B83
darkseagreen,#8FBC8F
darkseagreen 1,#C1FFC1
darkseagreen 2,#B4EEB4
darkseagreen 3,#9BCD9B
darkseagreen 4,#698B69
palegreen,#98FB98
palegreen 1,#9AFF9A
palegreen 2 (lightgreen),#90EE90
palegreen 3,#7CCD7C
palegreen 4,#548B54
limegreen,#32CD32
forestgreen,#228B22
green 1 (lime*),#00FF00
green 2,#00EE00
green 3,#00CD00
green 4,#008B00
green*,#008000
darkgreen,#006400
sapgreen,#308014
lawngreen,#7CFC00
chartreuse 1 (chartreuse),#7FFF00
chartreuse 2,#76EE00
chartreuse 3,#66CD00
chartreuse 4,#458B00
greenyellow,#ADFF2F
darkolivegreen 1,#CAFF70
darkolivegreen 2,#BCEE68
darkolivegreen 3,#A2CD5A
darkolivegreen 4,#6E8B3D
darkolivegreen,#556B2F
olivedrab,#6B8E23
olivedrab 1,#C0FF3E
olivedrab 2,#B3EE3A
olivedrab 3 (yellowgreen),#9ACD32
olivedrab 4,#698B22
ivory 1 (ivory),#FFFFF0
ivory 2,#EEEEE0
ivory 3,#CDCDC1
ivory 4,#8B8B83
beige,#F5F5DC
lightyellow 1 (lightyellow),#FFFFE0
lightyellow 2,#EEEED1
lightyellow 3,#CDCDB4
lightyellow 4,#8B8B7A
lightgoldenrodyellow,#FAFAD2
yellow 1 (yellow*),#FFFF00
yellow 2,#EEEE00
yellow 3,#CDCD00
yellow 4,#8B8B00
warmgrey,#808069
olive*,#808000
darkkhaki,#BDB76B
khaki 1,#FFF68F
khaki 2,#EEE685
khaki 3,#CDC673
khaki 4,#8B864E
khaki,#F0E68C
palegoldenrod,#EEE8AA
lemonchiffon 1 (lemonchiffon),#FFFACD
lemonchiffon 2,#EEE9BF
lemonchiffon 3,#CDC9A5
lemonchiffon 4,#8B8970
lightgoldenrod 1,#FFEC8B
lightgoldenrod 2,#EEDC82
lightgoldenrod 3,#CDBE70
lightgoldenrod 4,#8B814C
banana,#E3CF57
gold 1 (gold),#FFD700
gold 2,#EEC900
gold 3,#CDAD00
gold 4,#8B7500
cornsilk 1 (cornsilk),#FFF8DC
cornsilk 2,#EEE8CD
cornsilk 3,#CDC8B1
cornsilk 4,#8B8878
goldenrod,#DAA520
goldenrod 1,#FFC125
goldenrod 2,#EEB422
goldenrod 3,#CD9B1D
goldenrod 4,#8B6914
darkgoldenrod,#B8860B
darkgoldenrod 1,#FFB90F
darkgoldenrod 2,#EEAD0E
darkgoldenrod 3,#CD950C
darkgoldenrod 4,#8B6508
orange 1 (orange),#FFA500
orange 2,#EE9A00
orange 3,#CD8500
orange 4,#8B5A00
floralwhite,#FFFAF0
oldlace,#FDF5E6
wheat,#F5DEB3
wheat 1,#FFE7BA
wheat 2,#EED8AE
wheat 3,#CDBA96
wheat 4,#8B7E66
moccasin,#FFE4B5
papayawhip,#FFEFD5
blanchedalmond,#FFEBCD
navajowhite 1 (navajowhite),#FFDEAD
navajowhite 2,#EECFA1
navajowhite 3,#CDB38B
navajowhite 4,#8B795E
eggshell,#FCE6C9
tan,#D2B48C
brick,#9C661F
cadmiumyellow,#FF9912
antiquewhite,#FAEBD7
antiquewhite 1,#FFEFDB
antiquewhite 2,#EEDFCC
antiquewhite 3,#CDC0B0
antiquewhite 4,#8B8378
burlywood,#DEB887
burlywood 1,#FFD39B
burlywood 2,#EEC591
burlywood 3,#CDAA7D
burlywood 4,#8B7355
bisque 1 (bisque),#FFE4C4
bisque 2,#EED5B7
bisque 3,#CDB79E
bisque 4,#8B7D6B
melon,#E3A869
carrot,#ED9121
darkorange,#FF8C00
darkorange 1,#FF7F00
darkorange 2,#EE7600
darkorange 3,#CD6600
darkorange 4,#8B4500
orange,#FF8000
tan 1,#FFA54F
tan 2,#EE9A49
tan 3 (peru),#CD853F
tan 4,#8B5A2B
linen,#FAF0E6
peachpuff 1 (peachpuff),#FFDAB9
peachpuff 2,#EECBAD
peachpuff 3,#CDAF95
peachpuff 4,#8B7765
seashell 1 (seashell),#FFF5EE
seashell 2,#EEE5DE
seashell 3,#CDC5BF
seashell 4,#8B8682
sandybrown,#F4A460
rawsienna,#C76114
chocolate,#D2691E
chocolate 1,#FF7F24
chocolate 2,#EE7621
chocolate 3,#CD661D
chocolate 4 (saddlebrown),#8B4513
ivoryblack,#292421
flesh,#FF7D40
cadmiumorange,#FF6103
burntsienna,#8A360F
sienna,#A0522D
sienna 1,#FF8247
sienna 2,#EE7942
sienna 3,#CD6839
sienna 4,#8B4726
lightsalmon 1 (lightsalmon),#FFA07A
lightsalmon 2,#EE9572
lightsalmon 3,#CD8162
lightsalmon 4,#8B5742
coral,#FF7F50
orangered 1 (orangered),#FF4500
orangered 2,#EE4000
orangered 3,#CD3700
orangered 4,#8B2500
sepia,#5E2612
darksalmon,#E9967A
salmon 1,#FF8C69
salmon 2,#EE8262
salmon 3,#CD7054
salmon 4,#8B4C39
coral 1,#FF7256
coral 2,#EE6A50
coral 3,#CD5B45
coral 4,#8B3E2F
burntumber,#8A3324
tomato 1 (tomato),#FF6347
tomato 2,#EE5C42
tomato 3,#CD4F39
tomato 4,#8B3626
salmon,#FA8072
mistyrose 1 (mistyrose),#FFE4E1
mistyrose 2,#EED5D2
mistyrose 3,#CDB7B5
mistyrose 4,#8B7D7B
snow 1 (snow),#FFFAFA
snow 2,#EEE9E9
snow 3,#CDC9C9
snow 4,#8B8989
rosybrown,#BC8F8F
rosybrown 1,#FFC1C1
rosybrown 2,#EEB4B4
rosybrown 3,#CD9B9B
rosybrown 4,#8B6969
lightcoral,#F08080
indianred,#CD5C5C
indianred 1,#FF6A6A
indianred 2,#EE6363
indianred 4,#8B3A3A
indianred 3,#CD5555
brown,#A52A2A
brown 1,#FF4040
brown 2,#EE3B3B
brown 3,#CD3333
brown 4,#8B2323
firebrick,#B22222
firebrick 1,#FF3030
firebrick 2,#EE2C2C
firebrick 3,#CD2626
firebrick 4,#8B1A1A
red 1 (red*),#FF0000
red 2,#EE0000
red 3,#CD0000
red 4 (darkred),#8B0000
maroon*,#800000
sgi beet,#8E388E
sgi slateblue,#7171C6
sgi lightblue,#7D9EC0
sgi teal,#388E8E
sgi chartreuse,#71C671
sgi olivedrab,#8E8E38
sgi brightgray,#C5C1AA
sgi salmon,#C67171
